0, 2379 176 2504 307 -1.437612 0.214984 0.021679 0.213008;
1, 2254 307 2504 340 -1.639267 -0.052117 0.043358 0.053659;
2, 5008 307 5133 460 7.11325 -0.247557 0.021679 0.24878;
3, 4883 307 5008 460 6.706685 -0.247557 0.021679 0.24878;
4, 5009 154 5133 306 7.116502 0.250814 0.021505 0.247154;
5, 5009 275 5258 307 7.318158 0.052117 0.043184 0.052033;
6, 4883 154 5008 307 6.706685 0.250814 0.021679 0.24878;
7, 4883 274 5008 307 6.706685 0.055375 0.021679 0.053659;
8, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
9, 4007 154 4132 306 3.857482 0.250814 0.021679 0.247154;
10, 4008 274 4256 307 4.062391 0.055375 0.043011 0.053659;
11, 3881 274 4006 307 3.447666 0.055375 0.021679 0.053659;
12, 4508 176 4632 307 5.486992 0.214984 0.021505 0.213008;
13, 4508 274 4757 307 5.688648 0.055375 0.043184 0.053659;
14, 4382 176 4507 307 5.077176 0.214984 0.021679 0.213008;
15, 5134 460 5259 580 7.523067 -0.693811 0.021679 0.195122;
16, 5134 548 5259 613 7.523067 -0.889251 0.021679 0.105691;
17, 5509 482 5634 612 8.74276 -0.781759 0.021679 0.211382;
18, 5384 460 5509 514 8.336195 -0.586319 0.021679 0.087805;
19, 5509 460 5634 514 8.74276 -0.586319 0.021679 0.087805;
20, 5384 154 5509 208 8.336195 0.410423 0.021679 0.087805;
21, 5509 154 5634 208 8.74276 0.410423 0.021679 0.087805;
22, 5384 482 5509 613 8.336195 -0.781759 0.021679 0.213008;
23, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
24, 5384 308 5509 460 8.336195 -0.250814 0.021679 0.247154;
25, 5008 307 5133 460 7.11325 -0.247557 0.021679 0.24878;
26, 4633 307 4758 460 5.893557 -0.247557 0.021679 0.24878;
27, 4257 307 4382 460 4.670611 -0.247557 0.021679 0.24878;
28, 3882 307 4006 460 3.450918 -0.247557 0.021505 0.24878;
29, 5509 307 5634 460 8.74276 -0.247557 0.021679 0.24878;
30, 5134 307 5258 460 7.523067 -0.247557 0.021505 0.24878;
31, 4758 307 4883 460 6.300121 -0.247557 0.021679 0.24878;
32, 4382 307 4507 460 5.077176 -0.247557 0.021679 0.24878;
33, 4007 307 4132 460 3.857482 -0.247557 0.021679 0.24878;
34, 5634 307 5759 460 9.149324 -0.247557 0.021679 0.24878;
35, 5259 307 5384 460 7.929631 -0.247557 0.021679 0.24878;
